ObjectID,X,Y
94,32.75519,39.88104
95,32.75513,39.88101
96,32.75506,39.88099
97,32.755,39.88097
98,32.75494,39.88095
99,32.75488,39.88093
100,32.75482,39.88091
101,32.75475,39.88088
102,32.75467,39.88085
103,32.75458,39.88082
104,32.75449,39.88079
105,32.75439,39.88076
106,32.75429,39.88073
107,32.75418,39.8807
108,32.75407,39.88068
109,32.75396,39.88065
110,32.75384,39.88062
111,32.75373,39.88059
112,32.75362,39.88055
113,32.75353,39.8805
114,32.75343,39.88046
115,32.75336,39.88037
116,32.75327,39.8803
117,32.75316,39.88025
118,32.75308,39.88017
119,32.75298,39.8801
120,32.75288,39.88004
121,32.75278,39.87997
122,32.75269,39.8799
123,32.75259,39.87983
124,32.75248,39.87976
125,32.75239,39.87969
126,32.75228,39.8796
127,32.7522,39.87952
128,32.75211,39.87944
129,32.75202,39.87935
130,32.75193,39.87926
131,32.75185,39.87916
132,32.75177,39.87906
133,32.7517,39.87898
134,32.75163,39.87889
135,32.75156,39.87881
136,32.75149,39.87872
137,32.75141,39.87864
138,32.75134,39.87855
139,32.75126,39.87846
140,32.75119,39.87837
141,32.75111,39.87828
142,32.75103,39.87819
143,32.75095,39.8781
144,32.75088,39.87801
145,32.7508,39.87792
146,32.75073,39.87783
147,32.75066,39.87774
148,32.75058,39.87765
149,32.75049,39.87757
150,32.75041,39.87748
151,32.75033,39.87739
152,32.75025,39.8773
153,32.75017,39.87722
154,32.75009,39.87713
155,32.75,39.87705
156,32.74991,39.87697
157,32.74983,39.87688
158,32.74974,39.87681
159,32.74964,39.87673
160,32.74956,39.87665
161,32.74947,39.87656
162,32.74938,39.87649
163,32.7493,39.87641
164,32.74921,39.87632
165,32.74911,39.87626
166,32.74904,39.87617
167,32.74896,39.87608
168,32.74889,39.87598
169,32.74882,39.87588
170,32.74876,39.87579
171,32.7487,39.87571
172,32.74865,39.87565
173,32.74863,39.8756
174,32.74861,39.87557
175,32.74858,39.87552
176,32.74855,39.87548
177,32.74852,39.87542
178,32.74849,39.87537
179,32.74848,39.8753
180,32.74847,39.87523
181,32.74848,39.87515
182,32.74849,39.87507
183,32.74851,39.87499
184,32.74852,39.87491
185,32.74854,39.87482
186,32.74856,39.87472
187,32.74858,39.87463
188,32.74859,39.87453
