id;source;destination;source_station;destination_station
203;M12;M14;KAR;KAR
211;M13;M11;KAR;KAR
212;M11;M09;KAR;KAR
213;M09;M07;KAR;KAR
214;M07;M05;KAR;KAR
215;M07;M01;KAR;KAR
216;M05;M03;KAR;KAR
217;M03;M01;KAR;KAR
12;02MT-o;M02;KAS;KAS
75;05ST;M19;CUM;CUM
76;04ST;M19;CUM;CUM
60;02MT-o;M02;CUM;CUM
189;04MT-o;M04;KAR;KAR
190;02MT-o;M02;KAR;KAR
197;06ST;M18;KAR;KAR
206;05ST;M13;KAR;KAR
207;04ST;M13;KAR;KAR
208;03ST;M11;KAR;KAR
209;02ST;M09;KAR;KAR
210;01ST;M05;KAR;KAR
50;0262BT;0292BT;KAS;CUM
57;0391BT;04MT-o;CUM;CUM
58;0392BT;02MT-o;CUM;CUM
130;M09;09MT-o;ARI;ARI
133;M05;05MT-o;ARI;ARI
135;M03;03MT-o;ARI;ARI
196;M08;06ST;KAR;KAR
199;M18;01ST;KAR;KAR
201;M10;02ST;KAR;KAR
202;M12;05ST;KAR;KAR
204;M14;04ST;KAR;KAR
205;M14;03ST;KAR;KAR
218;M03;03MT-o;KAR;KAR
219;M01;01MT-o;KAR;KAR
2;0022BT;0052BT;KAS;KAS
3;0051BT;0081BT;KAS;KAS
4;0052BT;0082BT;KAS;KAS
5;0081BT;0111BT;KAS;KAS
6;0082BT;0112BT;KAS;KAS
7;0111BT;0141BT;KAS;KAS
8;0112BT;0142BT;KAS;KAS
77;03ST;M11;CUM;CUM
78;02ST;M15;CUM;CUM
79;01ST;M15;CUM;CUM
107;04MT-o;M04;ARI;ARI
108;02MT-o;M02;ARI;ARI
119;04ST;M15;ARI;ARI
120;03ST;M15;ARI;ARI
121;02ST;M17;ARI;ARI
122;01ST;M19;ARI;ARI
143;0613MT-o;M01;ARI;ARI
144;0642MT-o;M01;ARI;ARI
155;02MT-o;M02;DEM;DEM
156;04MT-o;M04;DEM;DEM
164;01ST;M05;DEM;DEM
165;02ST;M05;DEM;DEM
166;03ST;M07;DEM;DEM
167;04ST;M07;DEM;DEM
9;0141BT;04MT-o;KAS;KAS
10;0142BT;02MT-o;KAS;KAS
149;0701BT;0731BT;ARI;DEM
150;0702BT;0732BT;ARI;DEM
151;0731BT;0761BT;DEM;DEM
152;0732BT;0762BT;DEM;DEM
51;0291BT;0321BT;CUM;CUM
52;0292BT;0322BT;CUM;CUM
53;0321BT;0361BT;CUM;CUM
54;0322BT;0362BT;CUM;CUM
55;0361BT;0391BT;CUM;CUM
56;0362BT;0392BT;CUM;CUM
136;09MT-o;0611BT;ARI;ARI
137;05MT-o;0612BT;ARI;ARI
138;03MT-o;0613BT;ARI;ARI
187;0971BT;04MT-o;KAR;KAR
188;0972BT;02MT-o;KAR;KAR
94;05MT-o;07ST;CUM;CUM
95;03MT-o;0441BT;CUM;CUM
96;01MT-o;0442BT;CUM;CUM
97;0441BT;0471BT;CUM;CUM
98;0442BT;0472BT;CUM;CUM
101;0501BT;0531BT;ARI;ARI
102;0502BT;0532BT;ARI;ARI
99;0471BT;0501BT;CUM;ARI
100;0472BT;0502BT;CUM;ARI
103;0531BT;0571BT;ARI;ARI
104;0532BT;0572BT;ARI;ARI
105;0571BT;04MT-o;ARI;ARI
106;0572BT;02MT-o;ARI;ARI
139;0611BT;0641BT;ARI;ARI
141;0641BT;0671BT;ARI;ARI
142;0642BT;0642MT-o;ARI;ARI
146;01MT-o;0672BT;ARI;ARI
147;0671BT;0701BT;ARI;ARI
148;0672BT;0702BT;ARI;ARI
153;0761BT;02MT-o;DEM;DEM
154;0762BT;04MT-o;DEM;DEM
173;01MT-o;0801BT;DEM;DEM
174;03MT-o;0802BT;DEM;DEM
175;0801BT;0831BT;DEM;DEM
176;0802BT;0832BT;DEM;DEM
177;0831BT;0861BT;DEM;DEM
178;0832BT;0862BT;DEM;DEM
179;0861BT;0881BT;DEM;DEM
180;0862BT;0882BT;DEM;DEM
181;0881BT;0911BT;DEM;KAR
182;0882BT;0912BT;DEM;KAR
183;0911BT;0941BT;KAR;KAR
184;0912BT;0942BT;KAR;KAR
185;0941BT;0971BT;KAR;KAR
186;0942BT;0972BT;KAR;KAR
140;0612BT;0642BT;ARI;ARI
222;1021BT;1061BT;KAR;KAR
223;1022BT;1062BT;KAR;KAR
220;03MT-o;1022BT;KAR;KAR
221;01MT-o;1021BT;KAR;KAR
